Group,Ticker,Name,IV_Source,Current_RV_pct,Recent_VRP_pct,Avg_VRP_pct
Equity,SPY,S&P 500,IV Index,1.3586463398611652,2.072783230924963,0.7305379468178935
Equity,QQQ,NASDAQ 100,IV Index,2.7641454178651963,3.2718448872032706,0.5775144309598553
Equity,IWM,Russell 2000,GARCH,3.8260543377166125,1.4779618251641087,-0.3585881654711894
Equity,EFA,EAFE Developed,GARCH,1.9657823322489345,0.5890649309706059,-0.18738017470416002
Equity,EEM,Emerging Mkt,GARCH,3.486022980240526,0.4905013728529747,-0.252640347866206
Bond,TLT,20Y+ Treasury,GARCH,0.7604897880096257,0.518607950673319,-0.03676197771174502
Bond,IEF,7-10Y Treasury,GARCH,0.16615883695550399,0.0637956952689658,0.015285071640560805
Bond,AGG,US Agg Bond,GARCH,0.08494880765205216,0.04291394354155018,0.03150093747830168
Bond,HYG,High Yield,GARCH,0.03336575132357614,0.04004670498180431,0.036745220484300324
Grain,WEAT,Wheat,GARCH,5.270616487566137,1.3188047062120039,-0.14468129757393658
Grain,CORN,Corn,GARCH,1.0454950919298418,0.1482092356989549,-0.10233006935547956
Grain,SOYB,Soybean,GARCH,1.1330815134560204,0.5848297332071128,-0.013516836404217159
Livestock,COW,Livestock,GARCH,0.0,0.0005135955953631028,-0.01931966090960746
Energy,USO,Crude Oil,IV Index,13.235777578536535,14.410790006512872,5.415560518404811
Energy,UNG,Natural Gas,GARCH,131.26885293602902,-19.886118773415447,1.607696143236275
Metal,GLD,Gold,IV Index,30.868336934148,-10.14673338022586,0.5499612959361421
Metal,SLV,Silver,GARCH,230.87027331061677,-14.127175373228033,0.8861710315790342
Other,VNQ,US Real Estate,GARCH,1.9337367502495872,0.8663748596735644,-0.3779634463149964
Other,UUP,US Dollar,GARCH,0.6594314882237012,0.030616584475452915,-0.009682378361519698
